,city,lat,lon,temp,humidity,wind,clouds,country,date
370,fairbanks,64.8378,-147.7164,37.4,48,10.36,90,US,1611001624
371,balkanabat,39.5108,54.3671,50.68,54,3.44,90,TM,1611001708
372,saryg-sep,51.5,95.6,5.04,92,0.65,100,RU,1611001911
373,asyut,27.181,31.1837,53.6,62,5.08,0,EG,1611001911
374,harnoli,32.2792,71.5539,52.43,45,4.65,0,PK,1611001911
375,moose factory,51.2585,-80.6094,8.6,72,8.05,90,CA,1611001911
376,the valley,18.217,-63.0578,82.4,74,13.8,20,AI,1611001912
377,son la,21.3167,103.9,44.46,86,2.15,0,VN,1611001912
378,iqaluit,63.7506,-68.5145,17.6,79,12.66,90,CA,1611001761
379,la ronge,55.1001,-105.2842,5.0,85,3.44,98,CA,1611001912
380,brownwood,31.7093,-98.9912,73.4,27,16.11,1,US,1611001878
381,oranjestad,12.524,-70.027,78.8,83,10.36,40,AW,1611001912
382,along,28.1667,94.7667,54.9,83,0.63,98,IN,1611001912
383,arinos,-15.9169,-46.1056,78.94,71,4.76,8,BR,1611001912
384,port hueneme,34.1478,-119.1951,84.2,13,21.85,1,US,1611001913
385,sorong,-0.8833,131.25,79.09,78,3.89,100,ID,1611001913
386,kirensk,57.7853,108.1119,6.84,93,7.34,100,RU,1611001913
387,asau,46.4333,26.4,10.0,85,4.61,40,RO,1611001913
388,hofn,64.2539,-15.2082,37.4,65,24.16,75,IS,1611001913
389,biltine,14.5333,20.9167,68.11,24,15.01,0,TD,1611001913
390,tazovskiy,67.4667,78.7,-17.54,89,7.25,97,RU,1611001913
391,yerbogachen,61.2767,108.0108,-24.88,85,8.39,100,RU,1611001914
392,dzhebariki-khaya,62.2167,135.8,-49.72,74,0.72,100,RU,1611001914
393,lagoa,39.05,-27.9833,61.57,84,23.78,99,PT,1611001914
394,la plaine,15.3333,-61.25,80.6,69,11.5,40,DM,1611001914
395,rovaniemi,66.5,25.7167,15.8,86,10.36,90,FI,1611001914
396,khandyga,62.6667,135.6,-49.9,75,0.76,100,RU,1611001914
397,ambilobe,-13.2,49.05,76.78,92,5.03,100,MG,1611001914
398,cockburn town,21.4612,-71.1419,78.8,73,11.5,40,TC,1611001915
399,road town,18.4167,-64.6167,80.6,74,8.05,20,VG,1611001915
400,bayir,37.2687,28.2167,32.0,69,4.61,0,TR,1611001915
401,borba,-4.3878,-59.5939,82.65,83,2.04,100,BR,1611001915
402,montlucon,46.3333,2.6,30.99,94,4.47,63,FR,1611001915
403,sobolevo,54.4299,31.8996,-2.72,92,1.88,100,RU,1611001915
404,kempsey,-31.0833,152.8333,71.01,100,5.75,40,AU,1611001916
405,mangan,27.5167,88.5333,55.17,48,2.82,100,IN,1611001916
406,iquique,-20.2208,-70.1431,75.2,46,17.27,0,CL,1611001916
407,bandarbeyla,9.4942,50.8122,75.0,57,22.06,93,SO,1611001916
408,emerald,-23.5333,148.1667,73.4,78,9.22,64,AU,1611001916
409,omboue,-1.5746,9.2618,79.07,83,7.2,98,GA,1611001916
410,alghero,40.5589,8.3181,48.2,76,5.75,20,IT,1611001916
411,saint-pierre,-21.3393,55.4781,80.6,83,3.44,0,RE,1611001917
412,bilma,18.6853,12.9164,64.13,27,10.16,67,NE,1611001917
413,hamilton,39.1834,-84.5333,33.01,74,10.36,90,US,1611001917
414,cervo,43.6702,-7.4101,50.49,81,5.86,0,ES,1611001917
415,kampene,-3.6,26.6667,67.82,93,0.92,98,CD,1611001917
416,ponta pora,-22.5361,-55.7256,71.6,100,9.22,90,BR,1611001815
417,adrar,20.5022,-10.0711,59.95,28,14.23,86,MR,1611001917
418,tommot,58.9564,126.2925,-43.83,71,1.79,8,RU,1611001918
419,alice springs,-23.7,133.8833,60.8,41,8.21,0,AU,1611001812
420,siwana,25.6333,72.4167,58.78,51,5.26,0,IN,1611001918
421,pallasovka,50.05,46.8833,1.44,93,7.74,100,RU,1611001918
422,filingue,14.3521,3.3168,74.7,19,8.32,0,NE,1611001918
423,candolim,15.5181,73.7626,77.7,67,3.11,0,IN,1611001918
424,port macquarie,-31.4333,152.9167,68.0,100,5.75,40,AU,1611001835
425,severo-kurilsk,50.6789,156.125,18.75,90,32.12,88,RU,1611001918
426,rakke,58.9817,26.2544,13.91,97,5.41,96,EE,1611001919
427,arlit,18.7369,7.3853,65.73,24,11.23,0,NE,1611001919
428,yuzawa,39.1667,140.5,24.85,93,16.49,100,JP,1611001818
429,stettler,52.3168,-112.7186,35.6,80,21.85,0,CA,1611001919
430,bengbu,32.9408,117.3608,35.89,79,8.86,0,CN,1611001919
431,douglas,41.3,-96.167,37.4,65,4.92,75,US,1611001919
432,jalu,29.0331,21.5482,51.44,48,8.34,33,LY,1611001919
433,hambantota,6.1241,81.1185,75.24,82,9.73,100,LK,1611001920
434,kaohsiung,22.6163,120.3133,60.8,72,2.3,75,TW,1611001920
435,port hedland,-20.3167,118.5667,87.8,48,6.91,90,AU,1611001920
436,the pas,53.8251,-101.2541,-5.8,77,4.61,90,CA,1611001920
437,lasa,46.6166,10.7002,28.99,73,8.05,0,IT,1611001920
438,bagli,22.65,76.35,66.45,48,3.87,1,IN,1611001921
439,roma,43.2128,-75.4557,30.0,74,9.22,90,US,1611001744
440,dongsheng,39.8161,109.9776,18.73,67,8.99,0,CN,1611001922
441,broome,42.2506,-75.833,34.0,74,12.66,90,US,1611001922
442,kruisfontein,-34.0033,24.7314,69.01,79,5.01,0,ZA,1611001922
443,lorengau,-2.0226,147.2712,82.62,78,10.18,52,PG,1611001923
444,manggar,-2.8833,108.2667,78.35,78,13.31,100,ID,1611001923
445,baruun-urt,46.6806,113.2792,-4.61,89,8.63,3,MN,1611001923
446,gimli,50.6336,-96.9907,-0.4,78,5.75,77,CA,1611001656
447,cao bang,22.6667,106.25,47.34,53,0.72,0,VN,1611001923
448,ketchikan,55.3422,-131.6461,44.6,93,11.5,90,US,1611001923
449,urgut,39.4022,67.2431,41.0,56,2.3,66,UZ,1611001923
450,shunyi,40.125,116.6453,19.0,67,6.71,90,CN,1611001923
451,magdalena,14.1999,121.429,78.8,78,2.3,75,PH,1611001923
452,pangnirtung,66.1451,-65.7125,14.0,62,18.41,90,CA,1611001924
453,cuiluan,47.72,128.648,-24.02,83,5.66,2,CN,1611001924
454,innisfail,-17.5333,146.0333,66.99,98,1.99,100,AU,1611001924
455,palana,59.1167,159.9667,-4.59,91,21.14,100,RU,1611001924
456,erzin,36.9559,36.2,44.01,70,5.99,100,TR,1611001924
457,namibe,-15.1961,12.1522,73.18,74,10.58,89,AO,1611001924
458,calvinia,-31.4707,19.776,70.65,44,7.2,0,ZA,1611001924
459,eten,-6.9081,-79.8642,78.8,57,18.41,0,PE,1611001925
460,isangel,-19.55,169.2667,86.0,79,3.29,75,VU,1611001925
461,lata,40.1629,-8.3327,51.01,84,2.51,0,PT,1611001925
462,oistins,13.0667,-59.5333,82.4,65,20.71,40,BB,1611001925
463,pontianak,-0.0333,109.3333,71.6,100,1.14,40,ID,1611001926
464,heinsberg,51.0667,6.0833,42.01,87,11.5,75,DE,1611001926
465,cabra,37.4725,-4.4421,45.0,70,1.52,23,ES,1611001926
466,mahibadhoo,3.7833,72.9667,81.72,75,8.66,32,MV,1611001926
467,camacha,33.0833,-16.3333,55.4,71,3.44,0,PT,1611001926
468,ondangwa,-17.9167,15.95,77.0,69,2.3,100,NA,1611001926
469,gazanjyk,39.2446,55.5154,53.15,43,8.19,49,TM,1611001927
470,itaituba,-4.2761,-55.9836,78.8,89,3.44,75,BR,1611001927
471,ocampo,21.65,-101.5,68.32,23,10.58,0,MX,1611001927
472,aldan,58.6031,125.3894,-37.82,75,2.84,18,RU,1611001927
473,baykit,61.67,96.37,-16.49,83,3.15,100,RU,1611001927
474,raymond,43.9015,-70.4703,36.0,64,3.0,83,US,1611001927
475,dayong,25.0209,118.2898,51.8,40,4.47,0,CN,1611001927
476,paso de los toros,-32.8167,-56.5167,86.0,32,13.8,0,UY,1611001928
477,tortoli,39.9256,9.6572,44.6,87,10.36,0,IT,1611001928
478,moindou,-21.6924,165.677,77.0,94,1.14,0,NC,1611001928
479,derzhavinsk,51.1,66.3167,-0.74,91,9.55,71,KZ,1611001928
480,carutapera,-1.195,-46.02,78.4,85,7.31,100,BR,1611001928
481,petropavlovsk-kamchatskiy,53.0452,158.6483,23.0,50,17.9,100,RU,1611001928
482,niamey,13.5137,2.1098,84.2,13,5.75,0,NE,1611001928
483,la peca,-5.6111,-78.435,82.26,48,2.46,98,PE,1611001929
484,mogadishu,2.0371,45.3438,76.98,75,19.37,86,SO,1611001839
485,cayenne,4.9333,-52.3333,82.4,74,10.36,75,GF,1611001741
486,richards bay,-28.783,32.0377,72.41,83,4.56,98,ZA,1611001636
487,pierre,44.3683,-100.351,33.8,86,11.5,90,US,1611001929
488,atar,20.5169,-13.0499,63.52,24,12.75,100,MR,1611001929
489,flin flon,54.7682,-101.865,-5.8,77,4.61,90,CA,1611001802
490,deniliquin,-35.5333,144.9667,57.0,69,1.01,0,AU,1611001929
491,poum,-20.2333,164.0167,81.82,83,14.7,98,NC,1611001646
492,roebourne,-20.7833,117.1333,89.29,45,7.07,25,AU,1611001930
493,beni suef,29.0731,31.0979,46.24,57,3.67,66,EG,1611001930
494,leshukonskoye,64.8989,45.7622,7.74,95,9.35,100,RU,1611001661
495,codrington,-38.2667,141.9667,55.99,68,10.63,58,AU,1611001930
496,brightwater,-41.3833,173.1167,61.0,80,1.01,77,NZ,1611001930
497,mocuba,-16.8392,36.9856,76.84,95,2.8,100,MZ,1611001931
498,voh,-20.9667,164.7,81.54,80,4.07,91,NC,1611001931
499,pilar,-9.5972,-35.9567,80.6,74,14.97,40,BR,1611001931
500,bambanglipuro,-7.95,110.2833,76.19,85,5.01,100,ID,1611001878
501,whitianga,-36.8333,175.7,70.0,79,10.0,95,NZ,1611001931
502,omsukchan,62.5333,155.8,-38.61,79,7.2,100,RU,1611001932
503,zvishavane,-20.3267,30.0665,65.82,97,7.34,100,ZW,1611001932
504,tiarei,-17.5333,-149.3333,84.2,61,4.61,40,PF,1611001932
505,nome,64.5011,-165.4064,10.4,72,9.22,90,US,1611001637
506,zeya,53.75,127.2667,-29.76,76,0.89,0,RU,1611001932
507,gorin,51.1983,136.6669,-21.15,85,2.84,0,RU,1611001932
508,cileunyi,-6.9389,107.7528,69.21,90,6.22,99,ID,1611001932
509,san cristobal,7.7669,-72.225,82.4,65,13.8,40,VE,1611001933
510,semey,50.4111,80.2275,14.86,95,1.9,100,KZ,1611001933
511,ranong,9.9658,98.6348,71.73,83,5.77,83,TH,1611001933
512,umea,63.8284,20.2597,3.2,85,8.05,90,SE,1611001933
513,bathsheba,13.2167,-59.5167,82.4,65,20.71,40,BB,1611001933
514,hit,33.6416,42.8251,55.67,48,4.79,10,IQ,1611001933
515,huarmey,-10.0681,-78.1522,74.79,71,9.84,60,PE,1611001933
516,komsomolskiy,40.4272,71.7189,37.4,65,4.61,100,UZ,1611001933
517,sungairaya,0.7,108.9,75.36,87,8.21,100,ID,1611001934
518,sarti,40.1,23.9833,37.15,73,3.09,5,GR,1611001934
519,batagay-alyta,67.8006,130.4114,-33.2,80,2.21,100,RU,1611001934
520,changji,44.0167,87.3167,-0.4,85,2.24,75,CN,1611001934
521,malatya,38.5,38.0,24.8,86,2.3,75,TR,1611001934
522,livingston,55.9029,-3.5226,41.0,93,13.8,90,GB,1611001694
523,mitsamiouli,-11.3847,43.2844,81.82,79,8.79,100,KM,1611001687
524,gat,31.61,34.7642,53.01,100,1.01,0,IL,1611001935
525,rawson,-43.3002,-65.1023,70.43,51,14.45,0,AR,1611001935
526,porto santo,33.072,-16.3415,55.4,71,3.44,0,PT,1611001935
527,maunabo,18.0072,-65.8993,82.0,80,7.0,55,PR,1611001935
528,tuy hoa,13.0833,109.3,64.71,89,10.69,100,VN,1611001935
529,qaqortoq,60.7167,-46.0333,17.6,57,1.14,75,GL,1611001936
530,morogoro,-6.8167,37.6667,77.0,88,9.22,20,TZ,1611001936
531,winneba,5.3511,-0.6231,80.6,83,9.22,0,GH,1611001936
532,la sarre,48.8002,-79.1996,7.52,92,3.2,18,CA,1611001936
533,luganville,-15.5333,167.1667,83.97,72,3.58,94,VU,1611001936
534,praya,14.9215,-23.5087,71.6,73,17.27,100,CV,1611001861
535,latung,5.5,120.8833,80.29,80,8.86,100,PH,1611001936
536,alofi,-19.0595,-169.9187,84.2,79,8.05,40,NU,1611001921
537,salta,-24.7859,-65.4117,78.8,44,4.61,40,AR,1611001937
538,nemencine,54.85,25.4833,9.0,85,6.91,75,LT,1611001937
539,kholodnyy,62.7167,147.95,-24.72,81,5.12,100,RU,1611001937
540,laguna,38.421,-121.4238,71.6,15,23.02,1,US,1611001923
541,liepaja,56.5419,21.0367,19.4,93,3.44,90,LV,1611001937
542,itupiranga,-5.1347,-49.3267,87.8,62,4.61,40,BR,1611001938
543,grand-lahou,5.1367,-5.0242,79.45,81,8.12,5,CI,1611001938
544,channel-port aux basques,47.5702,-59.1367,36.27,84,13.2,99,CA,1611001938
545,hoskote,13.0669,77.7983,62.6,100,1.14,40,IN,1611001938
546,koyelga,54.6522,60.9049,-3.08,85,2.77,100,RU,1611001938
547,tripoli,32.8752,13.1875,57.76,64,14.5,52,LY,1611001938
548,quatre cocos,-20.2078,57.7625,80.01,100,9.22,75,MU,1611001939
549,hohhot,40.8106,111.6522,6.8,51,4.47,0,CN,1611001939
550,nanaimo,49.1663,-123.936,46.4,87,5.75,63,CA,1611001939
551,sistranda,63.7256,8.834,30.2,86,16.11,0,NO,1611001939
552,ormara,25.2088,64.6357,69.31,66,3.2,0,PK,1611001939
553,amuntai,-2.4177,115.2494,74.01,96,2.37,100,ID,1611001939
554,rio grande,-32.035,-52.0986,80.6,50,12.66,40,BR,1611001875
555,gloversville,43.0528,-74.3438,30.99,74,10.36,90,US,1611001940
556,andrews,32.3187,-102.5457,69.8,13,17.27,1,US,1611001726
557,taunggyi,20.7833,97.0333,49.46,93,3.11,3,MM,1611001940
558,talcher,20.95,85.2167,58.98,86,1.97,0,IN,1611001709
559,vallenar,-28.5708,-70.7581,83.28,27,9.57,0,CL,1611001940
560,mandalgovi,45.7625,106.2708,6.57,87,3.29,96,MN,1611001940
561,santiago del estero,-27.7951,-64.2615,89.01,31,1.99,0,AR,1611001940
562,ullal,12.8,74.85,77.0,88,4.61,20,IN,1611001941
563,lalsot,26.5667,76.3333,55.4,76,6.49,0,IN,1611001941
564,buturlino,55.5667,44.8974,-4.5,90,3.0,100,RU,1611001941
565,tiznit,29.5833,-9.5,54.66,54,1.1,33,MA,1611001941
566,pacific grove,36.6177,-121.9166,73.4,20,9.22,1,US,1611001941
